Order Number,Package,Name,Execution_Type,Priority,Status,Type,Created By,Created At,Last Updated At,Objective,Description,Notes,Pre Condition,Post Condition,Step Number,Step Description,Step Expected Result,Test_Script_Entry,Test_Script_Expected_Result
1,"IvyBridge|Q2_13|A0-home_screen|10-layout|10-topbar","01-appearance","Manual","P1","Designed","Functional positive","sdx","2013-03-08","2013-03-08","check the visual appearance of the top bar","The top bar must have a consistent height at any screen resolution (TODO: % of the height of the screen ?) and colors must be as follows:
- The top bar color must be dark gray
- A highlighted item must be blue.
- A non hightlighted item must be light gray.
(TODO: design specs document to be referenced here)","","","",1,"observe the screen","the top bar must be present and have a height of FIXME%","",0
"","","","","","","","","","","","","","","",2,"top bar color","must be dark gray (TODO: color must defined more precisely)","",""
"","","","","","","","","","","","","","","",3,"Home button color","must be blue (TODO: color must defined more precisely)","",""
"","","","","","","","","","","","","","","",4,"Application button color","must be light gray (TODO: color must defined more precisely)","",""
2,"IvyBridge|Q2_13|A0-home_screen|10-layout|10-topbar","02-home_button","Manual","P1","Designed","Functional positive","sdx","2013-03-08","2013-03-08","top bar has a home screen button","The home screen button is located at top left, with an icon.","","","",1,"check the home screen button","must be located on top left","",0
"","","","","","","","","","","","","","","",2,"check the home screen button icon","must be present","",""
3,"IvyBridge|Q2_13|A0-home_screen|10-layout|10-topbar","03-app_button","Manual","P1","Designed","Functional positive","sdx","2013-03-08","2013-03-08","top bar has a application button","The Application button is located at top left, at the right of Home button with an icon.","","","",1,"check the Applications button","must be located on top left, on the right of the Home button","",0
"","","","","","","","","","","","","","","",2,"check the Application button icon","must be present","",""
4,"IvyBridge|Q2_13|A0-home_screen|10-layout|10-topbar","04-active_app_area","Manual","P1","Designed","Functional positive","sdx","2013-03-08","2013-03-08","top bar has an active application area","The Application area is located between the Application button and the center of the top bar
It must display the icon and the name of the active application (the one with focus).
The current application menu is displayed when clicking (left mouse button) in this area.","","","",1,"launch an application","its icon must appear in the ""active application area"", on the right of the Applications button","",0
5,"IvyBridge|Q2_13|A0-home_screen|10-layout|10-topbar","05-clock","Manual","P1","Designed","Functional positive","sdx","2013-03-08","2013-03-08","top bar has a clock","A clock (Date and time) must be located in the middle of the top bar.
A click on the clock displays opens a menu with the following items:
- a calendar 
- a shortcut to Date&Time settings
- a shortcut to calendar application","","","",1,"observe the center of the top bar","the clock must be displayed with the right datetime","",0
